idx,name,version,category,assignedTo,paperName,year,authors,institution,citations_APA,relatedPapers_1,relatedPapers_2,explanation,highlights-1,highlights-2,highlights-3,limitations-1,limitations-2,limitations-3,citationsNumber,metric,yAxisLabel,labels,data,format,model_image
1.0,McCulloch-Pitts Neuron,v1.0,basic_nn,정윤,A logical calculus of the ideas immanent in nervous activity,1943.0,"WS McCulloch, W Pitts ",,"McCulloch, W. S., & Pitts, W. (1943). A logical calculus of the ideas immanent in nervous activity. The bulletin of mathematical biophysics, 5, 115-133.","Hansen, B. B., Spittle, S., Chen, B., Poe, D., Zhang, Y., Klein, J. M., ... & Sangoro, J. R. (2020). Deep eutectic solvents: A review of fundamentals and applications. Chemical reviews, 121(3), 1232-1285.","Zuo, C., Qian, J., Feng, S., Yin, W., Li, Y., Fan, P., ... & Chen, Q. (2022). Deep learning in optical metrology: a review. Light: Science & Applications, 11(1), 1-54.","Propose a logical framework to model neural activity using propositional logic, highlighting neural networks' computational properties",Logical Framework: Neural activity modeled using propositional logic.,Computational Equivalence: Neural networks simulate logical expressions.,Neural Dynamics: Circuits affect temporal behavior.,"Simplistic Assumptions: Oversimplifies neuron behavior, ignoring biological complexities.",Static Structure: Assumes unchanging neural networks.,Time Indeterminacy: Struggles with precise timing in feedback loops.,31925.0,,,,,,1.png
8.0,Variational Autoencoder (VAE),v2.1.2,vae,정윤,Auto-encoding variational bayes,2013.0,"Diederik P Kingma, Max Welling",Universiteit van Amsterdam,"Kingma, D. P. (2013). Auto-encoding variational bayes. arXiv preprint arXiv:1312.6114.","Yang, L., Zhang, Z., Song, Y., Hong, S., Xu, R., Zhao, Y., ... & Yang, M. H. (2023). Diffusion models: A comprehensive survey of methods and applications. ACM Computing Surveys, 56(4), 1-39.","Zhang, C., Zhang, C., Zheng, S., Qiao, Y., Li, C., Zhang, M., ... & Hong, C. S. (2023). A complete survey on generative ai (aigc): Is chatgpt from gpt-4 to gpt-5 all you need?. arXiv preprint arXiv:2303.11717.","The paper introduces Variational Autoencoders (VAEs), which use the reparameterization trick for efficient optimization and generative modeling of complex data with continuous latent variables.",Reparameterization Trick: Enables efficient gradient optimization.,Generative Power: Combines deep learning with variational inference,Scalability: Works well with large datasets.,Approximate Posterior: Limited to simple distributions.,High Variance: Unstable gradient estimators.,Model Expressiveness: Dependent on neural network architecture.,39468.0,,,,,,8.png
9.0,Beta-VAE,v2.1.2.1,vae,세준,B-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,2017.0,"Irina Higgins, Loic Matthey, Arka Pal, Christopher Burgess, Xavier Glorot, Matthew Botvinick, Shakir Mohamed, Alexander Lerchner",Google DeepMind,"Higgins, I., Matthey, L., Pal, A., Burgess, C. P., Glorot, X., Botvinick, M. M., ... & Lerchner, A. (2017). beta-vae: Learning basic visual concepts with a constrained variational framework. ICLR (Poster), 3.","Higgins, I., Matthey, L., Glorot, X., Pal, A., Uria, B., Blundell, C., ... & Lerchner, A. (2016). Early visual concept learning with unsupervised deep learning. arXiv preprint arXiv:1606.05579.","Karaletsos, T., Belongie, S., & Rätsch, G. (2015). Bayesian representation learning with oracle constraints. arXiv preprint arXiv:1506.05011.","The β-VAE model extends the traditional variational autoencoder (VAE) by introducing a hyperparameter β, which encourages learning disentangled representations of independent factors in visual data.",Disentangles data without supervision.,Improved interpretability of learned factors.,Achieves stable training across datasets.,May blur reconstructions at high β.,Optimal β varies by dataset.,Struggles with low data continuity.,5412.0,Disentanglement Metric Score,Comparison (%),"['VAE untrained', 'VAE', 'B-VAE']","[44,14, 61.58, 99.23]",%,9.png
10.0,SimCLR,v2.2.1,self_supervised,세준,A Simple Framework for Contrastive Learning of Visual Representations,2020.0,"Ting Chen, Simon Kornblith, Mohammad Norouzi, Geoffrey Hinton",Google Research Brain Team,"Chen, T., Kornblith, S., Norouzi, M., & Hinton, G. (2020, November). A simple framework for contrastive learning of visual representations. In International conference on machine learning (pp. 1597-1607). PMLR.","Khosla, P., Teterwak, P., Wang, C., Sarna, A., Tian, Y., Isola, P., ... & Krishnan, D. (2020). Supervised contrastive learning. Advances in neural information processing systems, 33, 18661-18673.","Wu, J., Hobbs, J., & Hovakimyan, N. (2023). Hallucination improves the performance of unsupervised visual representation learning. In Proceedings of the IEEE/CVF International Conference on Computer Vision (pp. 16132-16143).","SimCLR is a simple contrastive learning framework that improves unsupervised visual representation learning by maximizing agreement between augmented views of images, requiring no specialized architectures or memory bank.",High performance without labels.,Improves with larger batch sizes.,Stronger augmentation benefits learning.,Needs large computational resources.,High memory demand for large batches.,Sensitive to augmentation strategies​. ,20280.0,Top-1,Comparison (%),"['SimCLR using ResNet-50', 'SimCLR using other architectures']","[69.3, 76.5]",%,10.png
11.0,MoCo,v2.2.2,self_supervised,세준,Momentum Contrast for Unsupervised Visual Representation Learning,2020.0,"Kaiming He, Haoqi Fan, Yuxin Wu, Saining Xie, Ross Girshick",Facebook AI Research,"He, K., Fan, H., Wu, Y., Xie, S., & Girshick, R. (2020). Momentum contrast for unsupervised visual representation learning. In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition (pp. 9729-9738).","Wei, C., Wang, H., Shen, W., & Yuille, A. (2020). Co2: Consistent contrast for unsupervised visual representation learning. arXiv preprint arXiv:2010.02217.","Pang, B., Zhang, Y., Li, Y., Cai, J., & Lu, C. (2022, October). Unsupervised visual representation learning by synchronous momentum grouping. In European Conference on Computer Vision (pp. 265-282). Cham: Springer Nature Switzerland.","MoCo is an unsupervised learning framework using contrastive learning to train visual representations. It builds a dynamic dictionary with a momentum-updated encoder and queue, enabling consistent, large-scale dictionaries for better representations, particularly in downstream tasks like detection and segmentation.","Builds a large, consistent dynamic dictionary with a queue.",Uses momentum-based updates for the key encoder.,Transfers effectively to various vision tasks.,High memory requirements due to large dictionary size.,Limited by the complexity of instance discrimination tasks.,Performance gain decreases with scale limitations.,13540.0,Accuracy,Comparison (%),"['Exemplar', 'RelativePosition', 'Jigsaw', 'Rotation', 'Colorization', 'DeepCluster', 'BigBiGAN', 'InstDisc', 'LocalAgg', 'CPCv1', 'CPCv2', 'CMC', 'AMDIM', 'MoCo']","[46.0, 51.4, 44.6, 55.4, 39.6, 48.4, 56.6, 54.0, 58.8, 48.7, 65.9, 64.1, 63.5, 60.6]",%,11.png
12.0,DINO,v2.3.1,self_supervised,세준,Emerging Properties in Self-Supervised Vision Transformers,2021.0,"Mathilde Caron, Hugo Touvron, Ishan Misra, Hervé Jégou, Julien Mairal, Piotr Bojanowski, Armand Joulin",Facebook AI Research,"Caron, M., Touvron, H., Misra, I., Jégou, H., Mairal, J., Bojanowski, P., & Joulin, A. (2021). Emerging properties in self-supervised vision transformers. In Proceedings of the IEEE/CVF international conference on computer vision (pp. 9650-9660).","Chen, X., Xie, S., & He, K. (2021). An empirical study of training self-supervised vision transformers. In Proceedings of the IEEE/CVF international conference on computer vision (pp. 9640-9649).","d’Ascoli, S., Touvron, H., Leavitt, M. L., Morcos, A. S., Biroli, G., & Sagun, L. (2021, July). Convit: Improving vision transformers with soft convolutional inductive biases. In International conference on machine learning (pp. 2286-2296). PMLR.","DINO (self-distillation with no labels) trains a Vision Transformer in a self-supervised manner. Using a student-teacher framework, the student network learns to predict the teacher's output through self-attention, enabling effective learning without labeled data.",Learns visual features without labeled data.,Enables object segmentation from attention maps.,Achieves strong performance in classification benchmarks.,Computationally intensive training.,"Requires specific configurations (momentum encoder, multi-crop).",Limited performance gains in smaller-scale applications.,5429.0,k-NN evaluation,Accuracy (%),"[‘Supervised RN50’, ‘SCLR’, ‘MoCov2’, ‘InfoMin’, ‘BarlowT’, ‘OBoW’, ‘BYOL’, ‘DCv2’, ‘SwAV’, ‘DINO RN50’]","[79.3, 69.1, 71.1, 73.0, 73.2, 73.8, 74.4, 75.2, 75.3, 75.3]",%,12.png
13.0,DINOv2,v2.3.2,self_supervised,세준,DINOv2: Learning Robust Visual Features without Supervision,2023.0,"Maxime Oquab, Timothée Darcet, Théo Moutakanni, Huy V. Vo, Marc Szafraniec, Vasil Khalidov, Pierre Fernandez, Daniel Haziza, Francisco Massa, Alaaeldin El-Nouby, Mahmoud Assran, Nicolas Ballas, Wojciech Galuba, Russell Howes, Po-Yao Huang, Shang-Wen Li, Ishan Misra, Michael Rabbat, Vasu Sharma, Gabriel Synnaeve, Hu Xu, Hervé Jegou, Julien Mairal, Patrick Labatut, Armand Joulin, Piotr Bojanowski",Meta AI Research,"Oquab, M., Darcet, T., Moutakanni, T., Vo, H., Szafraniec, M., Khalidov, V., ... & Bojanowski, P. (2023). Dinov2: Learning robust visual features without supervision. arXiv preprint arXiv:2304.07193.","Newell, A., & Deng, J. (2020). How useful is self-supervised pretraining for visual tasks?. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (pp. 7345-7354).","Fang, Y., Dong, L., Bao, H., Wang, X., & Wei, F. (2022). Corrupted image modeling for self-supervised visual pre-training. arXiv preprint arXiv:2202.03382.","DINOv2 is a large-scale self-supervised Vision Transformer model for learning robust, general-purpose visual features without supervision. It leverages a curated dataset and a suite of optimized training techniques to produce visual representations that work across various computer vision tasks without fine-tuning.",Uses curated dataset for enhanced feature quality.,Incorporates scalable training optimizations for efficiency.,Matches or surpasses weakly-supervised model benchmarks.,Requires significant computational resources.,"Bias remains toward high-income, Western data sources.",Environmental impact due to large-scale model training.,1648.0,Top-1,Linear Evaluation (%),"[‘MAE ViT-H/14’, ‘DINO ViT-B/8’, ‘iBOT ViT-L/16’, ‘DINOv2 ViT-S/14’, ‘DINOv2 ViT-B/14’, ‘DINOv2 ViT-L/14’, ‘DINOv2 ViT-g/14’]","[76.6, 79.2, 82.3, 81.1, 84.5, 86.3, 86.5]",%,13.png
17.0,AlexNet,v3.2.1,cnn,정윤,Imagenet classification with deep convolutional neural networks,2012.0,"Alex Krizhevsky, Ilya Sutskever, Geoffrey Hinton",University of Toronto,"Krizhevsky, A., Sutskever, I., & Hinton, G. E. (2012). Imagenet classification with deep convolutional neural networks. Advances in neural information processing systems, 25.","Sarker, Iqbal H. ""Machine learning: Algorithms, real-world applications and research directions."" SN computer science 2.3 (2021): 160.","Sarker, Iqbal H. ""Deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions."" SN computer science 2.6 (2021): 420.","AlexNet is a deep convolutional neural network that achieved breakthrough performance on ImageNet using ReLU activation, dropout regularization, GPU training, and data augmentation to reduce overfitting.",Utilized GPUs for faster training.,Introduced ReLU for non-saturating activations.,Effective dropout regularization method.,High computational resource requirements.,Susceptible to overfitting without techniques.,Limited by GPU memory constraints.,135156.0,Top-1,Comparison (%),"['Sparse coding', 'SIFT + FVs', 'CNN']","[47.1, 45.7, 37.5]",%,17.png
18.0,VGGNet,v3.2.2,cnn,유안,Very Deep Convolutional Networks For Large-Scale Image Recognition,2014.0,"Karen Simonyan, Andrew Zisserman",University of Oxford,"Simonyan, K., & Zisserman, A. (2014). Very deep convolutional networks for large-scale image recognition. arXiv preprint arXiv:1409.1556.","Rombach, R., Blattmann, A., Lorenz, D., Esser, P., & Ommer, B. (2022). High-resolution image synthesis with latent diffusion models. In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition (pp. 10684-10695).","Wang, C. Y., Bochkovskiy, A., & Liao, H. Y. M. (2023). YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors. In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition (pp. 7464-7475).","The paper presents deep convolutional networks (up to 19 layers) using small 3x3 filters for large-scale image recognition, achieving state-of-the-art performance on the ImageNet dataset by focusing on depth rather than complex network structures.",Significant accuracy boost by deepening network.,Uses only 3x3 filters for simplification.,Outperforms previous models on ImageNet.,High computational cost and memory usage.,Longer training time with increased depth.,Dependent on large-scale labeled datasets.,132477.0,Top-1,Comparison (%),"['D_dense', 'D_multi-crop', 'D_multi-crop & dense']","[24.8, 24.6, 24.4]",%,18.png
19.0,GoogLeNet,v3.2.3,cnn,유안,Going Deeper with Convolutions,2014.0,"Christian Szegedy, Wei Liu, Yangqing Jia, Pierre Sermanet, Scott Reed, Dragomir Anguelov, Dumitru Erhan, Vincent Vanhoucke, Andrew Rabinovich",Google Inc.,"Szegedy, C., Liu, W., Jia, Y., Sermanet, P., Reed, S., Anguelov, D., ... & Rabinovich, A. (2015). Going deeper with convolutions. In Proceedings of the IEEE conference on computer vision and pattern recognition (pp. 1-9).","Liu, Z., Lin, Y., Cao, Y., Hu, H., Wei, Y., Zhang, Z., ... & Guo, B. (2021). Swin transformer: Hierarchical vision transformer using shifted windows. In Proceedings of the IEEE/CVF international conference on computer vision (pp. 10012-10022).","Wang, C. Y., Bochkovskiy, A., & Liao, H. Y. M. (2023). YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors. In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition (pp. 7464-7475).",The GoogLeNet model (Inception architecture) improves deep network efficiency by using modular layers with mixed kernel sizes for multi-scale feature extraction while keeping computational cost low.,Multi-scale feature extraction via Inception modules.,Optimized for efficient computation with reduced parameters.,Superior performance in classification and detection tasks.,High memory demand during training.,Limited applicability to non-vision tasks.,Complexity in designing and tuning Inception modules.,62896.0,Top-5,Error (%),"['SuperVision', 'Clarifai', 'MSRA', 'VGG', 'GoogLeNet']","[16.4, 11.7, 7.35, 7.32, 6.67]",%,19.png
