idx,name,version,category,assignedTo,paperName,year,authors,institution,citations_APA,relatedPapers_1,relatedPapers_2,explanation,highlights-1,highlights-2,highlights-3,limitations-1,limitations-2,limitations-3,citationsNumber,metric,yAxisLabel,labels,data,format,model_image,
1,McCulloch-Pitts Neuron,v1.0,basic_nn,정윤,A logical calculus of the ideas immanent in nervous activity,1943,"WS McCulloch, W Pitts ",,"McCulloch, W. S., & Pitts, W. (1943). A logical calculus of the ideas immanent in nervous activity. The bulletin of mathematical biophysics, 5, 115-133.","Hansen, B. B., Spittle, S., Chen, B., Poe, D., Zhang, Y., Klein, J. M., ... & Sangoro, J. R. (2020). Deep eutectic solvents: A review of fundamentals and applications. Chemical reviews, 121(3), 1232-1285.","Zuo, C., Qian, J., Feng, S., Yin, W., Li, Y., Fan, P., ... & Chen, Q. (2022). Deep learning in optical metrology: a review. Light: Science & Applications, 11(1), 1-54.","Propose a logical framework to model neural activity using propositional logic, highlighting neural networks' computational properties",Logical Framework: Neural activity modeled using propositional logic.,Computational Equivalence: Neural networks simulate logical expressions.,Neural Dynamics: Circuits affect temporal behavior.,"Simplistic Assumptions: Oversimplifies neuron behavior, ignoring biological complexities.",Static Structure: Assumes unchanging neural networks.,Time Indeterminacy: Struggles with precise timing in feedback loops.,31925,,,,,,1.png,
2,Perceptron,v1.1,basic_nn,세준,The perceptron: A probabilistic model for information storage and organization in the brain.,1958,F. Rosenblatt,Cornell Aeronautical Laboratory,"Rosenblatt, F. (1958). The perceptron: a probabilistic model for information storage and organization in the brain. Psychological review, 65(6), 386.","Anderson, J. A., Silverstein, J. W., Ritz, S. A., & Jones, R. S. (1977). Distinctive features, categorical perception, and probability learning: Some applications of a neural model. Psychological review, 84(5), 413.","Block, H. D. (1962). The perceptron: A model for brain functioning. i. Reviews of Modern Physics, 34(1), 123.","The perceptron is a probabilistic model inspired by the brain's neural network, designed to learn associations, recognize patterns, and generalize based on the organization and statistical separability of input stimuli.",Mimics biological neuron firing for learning.,Introduced weight adjustment for learning.,Showcased statistical separability concept.,Fails with non-linearly separable data.,Highly dependent on feature representation.,Limited expressive power without layers.,20597,,,,,,2.png,
3,Multi-Layer Perceptron (MLP),v1.2,basic_nn,세준,Cybernetic Predicting Devices,1965,"Alexey Grigoryevich Ivakhnenko, Valentin Grigor'evich Lapa",U.S. Department of Commerce,"Ivakhnenko, A. G., & Lapa, V. G. (1966). Cybernetic predicting devices. (No Title).","Azar, A. T., & Vaidyanathan, S. (Eds.). (2015). Computational intelligence applications in modeling and control. Heidelberg: Springer International Publishing.","Gallo, C. (2015). Artificial neural networks tutorial. In Encyclopedia of Information Science and Technology, Third Edition (pp. 6369-6378). IGI Global.","The MLP is a feedforward neural network consisting of an input layer, one or more hidden layers, and an output layer. It utilizes non-linear activation functions and backpropagation for training, enabling it to model complex, non-linear relationships in classification, regression, and feature extraction tasks.","Handles complex, non-linear relationships.",Suitable for multi-class classification.,Uses hidden layers for feature extraction.,Requires large labeled datasets for training.,Computationally intensive for large networks.,Prone to overfitting without regularization.,404,,,,,,3.png,
4,Backpropagation Algorithm,v1.2.1,basic_nn,세준,Learning representations by back-propagating errors,1986,"David E. Rumelhart, Geoffrey E. Hinton, Ronald J. Williams",UCSD,"Rumelhart, D. E., Hinton, G. E., & Williams, R. J. (1986). Learning representations by back-propagating errors. nature, 323(6088), 533-536.","Crick, F. (1989). The recent excitement about neural networks. Nature, 337(6203), 129-132.","Plaut, D. C. (1986). Experiments on Learning by Back Propagation.","Backpropagation is a supervised learning algorithm used to train neural networks. It calculates gradients by propagating errors backward through the network layers, updating weights to minimize error, enabling deep networks to learn complex tasks.",Enables multi-layer gradient-based optimization.,Efficiently updates network parameters.,Scales well to deep and large networks.,Can get stuck in local minima.,Sensitive to hyperparameter choices.,Computationally intensive for deep networks.,40430,,,,,,4.png,
5,Hopfield Network,v2.0.1,hopfield_boltzmann,세준,Neural networks and physical systems with emergent collective computational abilities,1982,J. J. Hopfield,California Institute of Technology,"Hopfield, J. J. (1982). Neural networks and physical systems with emergent collective computational abilities. Proceedings of the national academy of sciences, 79(8), 2554-2558.","Tank, D. W., & Hopfield, J. J. (1987). Collective computation in neuronlike circuits. Scientific American, 257(6), 104-115.","Anderson, J. A. (1983). Cognitive and psychological computation with neural models. IEEE transactions on systems, man, and cybernetics, (5), 799-815.",The Hopfield Network is a recurrent neural network designed for associative memory. It stores patterns as energy states and retrieves them by dynamically converging to stable states from noisy or incomplete inputs.,Implements energy-based memory retrieval.,Robust to noisy or partial input patterns.,Offers content-addressable memory capabilities.,Limited storage capacity for patterns.,Prone to local minima convergence.,Sensitive to similarity between stored patterns.,28105,,,,,,5.png,
6,Boltzmann Machine,v2.0.2,hopfield_boltzmann,세준,A Learning Algorithm for Boltzmann Machines,1985,"David H. Ackley, Geoffrey E. Hinton, Terrence J. Sejnowski",Carnegie-Mellon University,"Ackley, D. H., Hinton, G. E., & Sejnowski, T. J. (1985). A learning algorithm for Boltzmann machines. Cognitive science, 9(1), 147-169.","Hinton, G. E., Sejnowski, T. J., & Ackley, D. H. (1984). Boltzmann machines: Constraint satisfaction networks that learn. Pittsburgh, PA: Carnegie-Mellon University, Department of Computer Science.","Hinton, G. E., & Sejnowski, T. J. (1986). Learning and relearning in Boltzmann machines. Parallel distributed processing: Explorations in the microstructure of cognition, 1(282-317), 2.","The Boltzmann Machine is a stochastic neural network based on statistical mechanics, using probabilistic updates to learn constraints and encode complex data distributions through energy minimization.",Learns probabilistic representations.,Efficient for solving constraint satisfaction tasks.,Can represent high-order correlations in data.,Slow convergence for large datasets.,Requires long equilibrium periods.,Susceptible to local minima.,5916,,,,,,6.png,
7,Basic Autoencoder,v2.1.1,vae,세준,Reducing the dimensionality of data with neural networks,1986,"G. E. Hinton, R. R. Salakhutdinov",University of Toronto,"Hinton, G. E., & Salakhutdinov, R. R. (2006). Reducing the dimensionality of data with neural networks. science, 313(5786), 504-507.","Ansuini, A., Laio, A., Macke, J. H., & Zoccolan, D. (2019). Intrinsic dimension of data representations in deep neural networks. Advances in Neural Information Processing Systems, 32.","Recanatesi, S., Farrell, M., Advani, M., Moore, T., Lajoie, G., & Shea-Brown, E. (2019). Dimensionality compression and expansion in deep neural networks. arXiv preprint arXiv:1906.00443.",An autoencoder is a neural network for unsupervised learning that encodes high-dimensional data into a lower-dimensional latent space and decodes it back to reconstruct the original input. Pretraining and backpropagation optimize its weights for efficient data compression and reconstruction.,Performs non-linear dimensionality reduction.,Outperforms PCA for complex data distributions.,Learns robust representations for various tasks.,Struggles without proper initialization.,Sensitive to network depth and architecture.,Prone to reconstructing training data average.,23900,Reconstruction error,Mean squared reconstruction error rates,"[‘Autoencoder’, ‘PCA’, ‘Random Guess’]","[1.44, 7.64, 13.87]",%,7.png,
8,Variational Autoencoder (VAE),v2.1.2,vae,정윤,Auto-encoding variational bayes,2013,"Diederik P Kingma, Max Welling",Universiteit van Amsterdam,"Kingma, D. P. (2013). Auto-encoding variational bayes. arXiv preprint arXiv:1312.6114.","Yang, L., Zhang, Z., Song, Y., Hong, S., Xu, R., Zhao, Y., ... & Yang, M. H. (2023). Diffusion models: A comprehensive survey of methods and applications. ACM Computing Surveys, 56(4), 1-39.","Zhang, C., Zhang, C., Zheng, S., Qiao, Y., Li, C., Zhang, M., ... & Hong, C. S. (2023). A complete survey on generative ai (aigc): Is chatgpt from gpt-4 to gpt-5 all you need?. arXiv preprint arXiv:2303.11717.","The paper introduces Variational Autoencoders (VAEs), which use the reparameterization trick for efficient optimization and generative modeling of complex data with continuous latent variables.",Reparameterization Trick: Enables efficient gradient optimization.,Generative Power: Combines deep learning with variational inference,Scalability: Works well with large datasets.,Approximate Posterior: Limited to simple distributions.,High Variance: Unstable gradient estimators.,Model Expressiveness: Dependent on neural network architecture.,39468,,,,,,8.png,
9,Beta-VAE,v2.1.2.1,vae,세준,B-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,2017,"Irina Higgins, Loic Matthey, Arka Pal, Christopher Burgess, Xavier Glorot, Matthew Botvinick, Shakir Mohamed, Alexander Lerchner",Google DeepMind,"Higgins, I., Matthey, L., Pal, A., Burgess, C. P., Glorot, X., Botvinick, M. M., ... & Lerchner, A. (2017). beta-vae: Learning basic visual concepts with a constrained variational framework. ICLR (Poster), 3.","Higgins, I., Matthey, L., Glorot, X., Pal, A., Uria, B., Blundell, C., ... & Lerchner, A. (2016). Early visual concept learning with unsupervised deep learning. arXiv preprint arXiv:1606.05579.","Karaletsos, T., Belongie, S., & Rätsch, G. (2015). Bayesian representation learning with oracle constraints. arXiv preprint arXiv:1506.05011.","The β-VAE model extends the traditional variational autoencoder (VAE) by introducing a hyperparameter β, which encourages learning disentangled representations of independent factors in visual data.",Disentangles data without supervision.,Improved interpretability of learned factors.,Achieves stable training across datasets.,May blur reconstructions at high β.,Optimal β varies by dataset.,Struggles with low data continuity.,5412,Disentanglement Metric Score,Comparison (%),"['VAE untrained', 'VAE', 'B-VAE']","[44,14, 61.58, 99.23]",%,9.png,
10,SimCLR,v2.2.1,self_supervised,세준,A Simple Framework for Contrastive Learning of Visual Representations,2020,"Ting Chen, Simon Kornblith, Mohammad Norouzi, Geoffrey Hinton",Google Research Brain Team,"Chen, T., Kornblith, S., Norouzi, M., & Hinton, G. (2020, November). A simple framework for contrastive learning of visual representations. In International conference on machine learning (pp. 1597-1607). PMLR.","Khosla, P., Teterwak, P., Wang, C., Sarna, A., Tian, Y., Isola, P., ... & Krishnan, D. (2020). Supervised contrastive learning. Advances in neural information processing systems, 33, 18661-18673.","Wu, J., Hobbs, J., & Hovakimyan, N. (2023). Hallucination improves the performance of unsupervised visual representation learning. In Proceedings of the IEEE/CVF International Conference on Computer Vision (pp. 16132-16143).","SimCLR is a simple contrastive learning framework that improves unsupervised visual representation learning by maximizing agreement between augmented views of images, requiring no specialized architectures or memory bank.",High performance without labels.,Improves with larger batch sizes.,Stronger augmentation benefits learning.,Needs large computational resources.,High memory demand for large batches.,Sensitive to augmentation strategies​. ,20280,Top-1,Comparison (%),"['SimCLR using ResNet-50', 'SimCLR using other architectures']","[69.3, 76.5]",%,10.png,
